"compound","sentence1","sentence2","sentence3"
"centro espírita","Qual o papel que o centro espírita deve desempenhar ?","sent2: (['# MWETOOLKIT: meta.doc.id=""net-d34e6""', '# MWETOOLKIT: meta.doc.title=""Reforma �ntima e Autoconhecimento: Abril 2013""', '# MWETOOLKIT: meta.doc.source=""http://cursode-reformaintima.blogspot.com.br/2013_04_01_archive.html""'], 421)","O público que frequenta um centro espírita busca o que em uma palestra ?"
"cerca viva","É bem possível realizar uma cerca viva , com espécies distintas ao redor da horta .","Ela forma uma ótima cerca viva quando plantada a cada metro e meio .","Também são cultivadas para cercas vivas inclusive de divisas territoriais e para sombreamento de estradas ."
"céu aberto","Em Florianópolis , o shopping a céu aberto será na rua Vidal Ramos .","Eram umas lobas que , a céu aberto lutavam raivosamente para proteger sua tribo .","O Inhotim reune obras de arte a céu aberto , galerias e um acervo com cerca de 500 obras de arte ."
"cheiro-verde","Pique o cheiro-verde e as folhas de aipo .","Bouquet garni : palavra de origem francesa que significa um ramalhete de cheiros-verdes .","Acerte o sal e finalize com suco de limão cravo e o cheiro-verde ."
"circuito integrado","Nascia aí o circuito integrado , um pequeno pedaço , um pequeno chip .","Em 1965 , produziu seu primeiro circuito integrado experimental e começou a lançar equipamentos electrônicos transistorizados .","Isto culminou com a construção do primeiro circuito integrado no final da década de sessenta ."
"círculo vicioso","Como cortar este círculo vicioso negativo , destrutivo ?","Acelerou - se o círculo vicioso entre finanças e política .","sent3: (['# MWETOOLKIT: meta.doc.id=""netw-d1acd""', '# MWETOOLKIT: meta.doc.title=""Nao consigo perder peso, alguem me ajuda??? - Dieta - Nutrição - F�RUM Doutissima""', '# MWETOOLKIT: meta.doc.source=""http://forum.saude.doutissima.com.br/doutissima/Nutricao/Dieta/consigo-perder-alguem-topico_404_1.htm""'], 32)"
"círculo virtuoso","Em um círculo virtuoso , o processo se auto - alimenta .","Um comportamento altruístico que gera o círculo virtuoso da reciprocidade .","Foi criado um círculo virtuoso , em que se geram empregos formais , com salários maiores ."
"classe executiva","E ainda falta contar o preço de as passagens , todas na classe executiva .","Ninguém viaja de classe executiva e os quartos dos hotéis são sempre compartilhados .","Os lounges para primeira classe e classe executiva ficam no andar de cima ."
"colégio militar","Ela tem apenas 18 anos e cursa o último ano no colégio militar de Porto Alegre .","Em 1960 ingressou no colégio militar em Lisboa .","Cursou o colégio militar do Rio de Janeiro , no qual obteve o diploma de agrimensor ."
"coluna social","O casal foi o assunto em todas as colunas sociais .","Seus rostos ilustram as colunas sociais e as revistas de fofocas revelam sua vida privada .","sent3: (['# MWETOOLKIT: meta.doc.id=""net-798572""', '# MWETOOLKIT: meta.doc.title=""ZGUIOTTO: Novembro 2011""', '# MWETOOLKIT: meta.doc.source=""http://zelmar.blogspot.com.br/2011_11_01_archive.html""'], 598)"
"comida caseira","Deve estar habituado a comida caseira porque só quer latas de comida .","Na passagem vimos uma plaquinha em uma casa anunciando comida caseira .","No fundo do quintal tem mesinhas onde ela serve comida caseira ."
"companhia aérea","A TAM linhas aéreas é uma companhia aérea brasileira .","A Varig foi a primeira companhia aérea brasileira .","sent3: (['# MWETOOLKIT: meta.doc.id=""netb-1ae8fa""', '# MWETOOLKIT: meta.doc.title=""Blog do Nori: Janeiro 2012""', '# MWETOOLKIT: meta.doc.source=""http://www.blogdonori.blogspot.com.br/2012_01_01_archive.html""'], 191)"
"conta-corrente","O governo britânico ameaçou congelar poupanças islandesas e contas-correntes .","Por exemplo , as transações ilegais de valores de contas-correntes .","Um cartão de débito tem ligação com sua conta-corrente ."
"coração partido","sent1: (['# MWETOOLKIT: meta.doc.id=""net-5d5ca6""', '# MWETOOLKIT: meta.doc.title=""DO VAZIO A PLENITUDE - Sermoes""', '# MWETOOLKIT: meta.doc.source=""http://www.jesusvoltara.com.br/sermoes/bullon29_vazio_plenitude.htm""'], 254)","Estou realmente destruída , com o meu coração partido .","A dor de um coração partido é inevitável , mas o sofrimento é opcional ."
"corda bamba","Você está sempre à beira do erro , na corda bamba .","É difícil viver o tempo todo nessa corda bamba .","É uma corda bamba , mas acho que conseguimos nos equilibrar muito bem ."
"cordas vocais","Sussurrar não poupa as cordas vocais , muito pelo contrário .","A freqüência da voz é determinada pelas cordas vocais .","Crises de tosse também podem causar lesão nas cordas vocais ."
"curto-circuito","A memória entra em curto-circuito .","Apagaram as luzes com um curto-circuito na casa de força .","O incêndio foi provocado pelo curto-circuito de um video - game ."
"deputado federal","Ele quer se candidatar a deputado federal em 2014 .","Em 1986 , elegeu - se deputado federal por São Paulo .","O Nordeste tem 27 senadores e mais de uma centena de deputados federais ."
"desfile militar","Durante este festival os Sikhs realizam desfiles militares e espectáculos de artes marciais .","Apenas será mantido o desfile militar na avenida Champs - Élysées .","Em Moscou , a data é comemorada com desfiles militares , apresentações musicais e queima de fogos ."
"direitos humanos","sent1: (['# MWETOOLKIT: meta.doc.id=""net-c39df""', '# MWETOOLKIT: meta.doc.title=""Contos da Guerra Colonial: Setembro 2009""', '# MWETOOLKIT: meta.doc.source=""http://contosdaguerracolonial.blogspot.com.br/2009_09_01_archive.html""'], 188)","Defensor ou agressor dos direitos humanos ?","O documento citará a violação de direitos humanos ."
"disco rígido","Os spywares exploram os cookies armazenados no disco rígido .","20Mb de espaço disponível no disco rígido ;","A imagem do sistema deve ser salva em um disco rígido ."
"disco voador","Ilustração do que se acredita serem discos voadores .","Estamos totalmente alheios a esse assunto de disco voador .","Um encontro fatal com tripulantes de um disco voador ?"
"efeito especial","Os efeitos especiais são convincentes .","A cena é grotesca , com efeitos especiais exagerados e nojentos .","Um mundo repleto de fabulosos efeitos especiais tridimensionais ."
"elefante branco","Alguns dos estádios novos foram criticados por se tornarem "" elefantes brancos "" após a Copa .","Tenho preocupação com o futuro do estádio de Manaus , pode ser mesmo um elefante branco .","Os projectos megalómanos pontificavam - se como verdadeiros elefantes brancos desbaratando a eito toda a ajuda da cooperação internacional"
"escada rolante","Os elevadores , escadas rolantes e esteiras rolantes ;","Próximo existem duas escadas rolantes e dois elevadores .","Nas outras subo de escada rolante com acompanhante ."
"estrela cadente","Um meteoro é também por vezes designado de estrela cadente .","Nosso sistema solar também apresenta um fenômeno atmosférico frequente : as estrelas cadentes .","E não é que uma chuva de estrelas cadentes caiu sobre a Terra ?"
"exame clínico","Esse diagnostico é realizado através de exame clínico e radiográfico .","Simples exame clínico poderia perfeitamente atender à exigência do tipo .","Durante um exame clínico , muitas vezes o médico pode palpar a bexiga cheia ."
"exame laboratorial","sent1: (['# MWETOOLKIT: meta.doc.id=""net-6bccd2""', '# MWETOOLKIT: meta.doc.title=""Col�gio S�o Francisco - Qu�mica � Vida""', '# MWETOOLKIT: meta.doc.source=""http://www.portalsaofrancisco.com.br/alfa/quimica-e-vida/quimica-e-vida.php""'], 54)","sent2: (['# MWETOOLKIT: meta.doc.id=""net-68cd11""', '# MWETOOLKIT: meta.doc.title=""Duas novas doen�as tropicais registrados no Amazonas podem virar Epidemia no Brasil - Jornal O NORT�O""', '# MWETOOLKIT: meta.doc.source=""http://www.onortao.com.br/noticias/duas-novas-doencas-tropicais-registrados-no-amazonas-podem-virar-epidemia-no-brasil,60303.php""'], 58)","sent3: (['# MWETOOLKIT: meta.doc.id=""net-6bcd74""', '# MWETOOLKIT: meta.doc.title=""Artrite Reumat�ide, Sintoma, Causa, Tratamento, O que � Artrite Reumat�ide""', '# MWETOOLKIT: meta.doc.source=""http://www.portalsaofrancisco.com.br/alfa/reumatismo/artrite-reumatoide.php""'], 491)"
"farinha integral","Elaboração de macarrão cozido à base de farinha integral de quinoa e farinha de arroz .","Use farinha integral em lugar da farinha branca ou fina , que é pobre de elementos nutritivos .","Cada uma dessas linhas tem várias subdivisões com pães elaborados a partir de matérias - primas como centeio , glúten , linhaça e farinha integral ."
"febre amarela","Jean - Baptiste morreu de febre amarela quando o filho tinha quinze meses .","O Rio de Janeiro era assolado por doenças como varíola e febre amarela .","Fui olhar o meu atestado de vacina contra febre amarela ."
"ficha limpa","A questão da corrupção , da ficha limpa .","Não há objeção dos deputados para que haja ficha limpa .","Só deputado e senador têm que ter ficha limpa ?"
"fila indiana","Caminhavam em fila indiana , uma influência indígena .","Seguimos em fila indiana subindo e descendo encostas de areia carregando nossas enormes mochilas .","Chamamos de fila indiana a fila em que uma pessoa fica atrás da outra esperando sua vez ."
"fio condutor","Esse é o fio condutor dessa coletânea de textos .","Tem um fio condutor em redor do qual se desencadeia toda a história .","A grande preocupação foi que houvesse um fio condutor em todo o concerto ."
"força bruta","A força bruta seria a solução para a criminalidade que nos assola .","A mobilidade da vida social moderna exige inteligência , não força bruta ;","Usar a força bruta , para tentar impor um ponto de vista não vai funcionar ."
"gato-pingado","Não deu quase ninguém , só alguns gatos-pingados !","Os esquerdistas , na comparação , eram meia dúzia de gatos-pingados .","Se der mil gatos-pingados pode registrar como o primeiro milagre no século XXI ."
"gelo-seco","Weldon igualou os efeitos filmados em Yellowstone com gelo-seco e máquinas de fumaça .","Sim , o gelo-seco , que é dióxido de carbono na forma sólida , é uma substância perigosa .","Os pólos estão cobertos por calotas polares formadas por gelo-seco ( dióxido de carbono congelado ) e gelo de água ."
"golpe baixo","A Internet abre possibilidades sem fim para abusos e golpes baixos .","Em esse campo são corriqueiras as brigas judiciais , golpes baixos e acusações de favorecimento .","No afã de alcançar seus objetivos , para alguns vale tudo , até golpes baixos ."
"governo federal","sent1: (['# MWETOOLKIT: meta.doc.id=""neth-86fc7""', '# MWETOOLKIT: meta.doc.title=""Trilha das Lágrimas: A marcha da morte dos indígenas norte Americanos | Noite Sinistra""', '# MWETOOLKIT: meta.doc.source=""http://noitesinistra.blogspot.com.br/2016/02/trilha-das-lagrimas-marcha-da-morte-dos.html""'], 114)","Armados e treinados pelo governo federal .","Uma crise política abalou o governo federal ."
"gripe aviária","Há suspeitas de que o foco da gripe aviária tenha surgido nesses locais .","Seja essa pandemia causada pelo vírus da gripe aviária , suína ou qualquer outro .","Os porcos também podem ser infectados por vírus da gripe aviária e por vírus da influenza sazonal humana ."
"gripe suína","Como a gripe suína se espalha ?","Como diferenciar entre gripe comum e gripe suína ?","Existe uma vacina que combate a gripe suína ?"
"guarda-florestal","Um guarda-florestal faz patrulhas regulares para afastar os caçadores .","Ele foi no início utilizado por guardas-florestais para combater a caça clandestina .","No inverno , só pode visitar a Spruce Tree House em uma visita guiada por um guarda-florestal ."
"jogo duro","Eu sou franco e jogo duro , não abro mão de aquilo que eu gosto .","A captação de recursos privados tem sido afetada pelo jogo duro do Planalto e pela ausência de uma lei das ONGs .","A oposição fez um jogo duro , não dando trégua , na esperança de enfraquecer lula e derrotá - lo"
"juízo final","A ressurreição dos mortos ocorrerá antes do juízo final .","A parede do fundo exibia cenas relativas ao juízo final .","Esse veredito de Deus sobre Davi nos leva ao grande juízo final ."
"leite integral","Depois do primeiro aniversário , já dá para dar leite integral .","O brasileiro aumentou o consumo de leite integral e carne com gordura .","Troque o leite integral pelo desnatado e economize nas calorias ."
"lista negra","Maradona e Palermo também estão na lista negra de Román .","Passou sete meses com homens que estavam na lista negra de Israel .","Quem se recusasse a aceitar esse Evangelho era colocado na lista negra ."
"livre-docente","Sou também mestre e doutor , e depois livre-docente .","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-5c1f0""', '# MWETOOLKIT: meta.doc.title=""De onde? Imagens em vídeos, fotos e relatos: Isabella Nardoni""', '# MWETOOLKIT: meta.doc.source=""http://deonde.blogspot.com.br/search/label/Isabella%20Nardoni""'], 394)","Seu pai era químico e foi livre-docente da Universidade de Praga ."
"livro aberto","Quem adora desta forma nada tem a esconder , sua vida é um livro aberto .","Você é simplesmente um livro aberto , contando ao mundo a respeito de seu autor .","Porque eu posso ser um livro aberto - mas algumas páginas estão e continuarão coladas , hehehe ."
"longa data","Todos vocês me conhecem de longa data .","Essa colaboração de longa data também ajuda .","sent3: (['# MWETOOLKIT: meta.doc.id=""netj-2f3fc""', '# MWETOOLKIT: meta.doc.title=""VIDA QUE SE CONTA""', '# MWETOOLKIT: meta.doc.source=""http://vidaqueseconta.blogspot.com.br/search?max-results=22&updated-max=2008-01-01T00%3A00%3A00-03%3A00&updated-min=2007-01-01T00%3A00%3A00-03%3A00""'], 140)"
"longa-metragem","O longa-metragem tem Isabella Rossellini no elenco .","O longa-metragem mudo francês quebrou diversos paradigmas .","Seus documentários de longa-metragem alcançaram grande sucesso ."
"lua cheia","Este ano de luas cheias é muito apropriadamente chamado !","O seguimento das estrelas permitiu - lhes reconhecer e antecipar eventos tais como eclipses e luas cheias .","Todas as luas cheias , possuem diferentes auréolas , a branca é simbólica da magia branca , a dourada trás prosperidade ."
"lua nova","Levantem - se pois agora e te salvem os astrólogos , que nas luas novas prognosticam o que há de vir sobre ti .","Período de maior intensidade : época das chuvas , nos meses de janeiro a maio e no mês de setembro , durante as luas nova e cheia .","Para muitos povos antigos , um novo mês era anunciado na passagem da lua nova para a lua crescente ."
"lugar-comum","Cheias de lugares-comuns e banalidades ;","Clichê , chavão , lugar-comum .","Metodologias de desenvolvimento ágil e scrum são agora lugar-comum ."
"má-fé","Há uma tremenda má-fé no que escreveu o fantasioso Will Durant .","sent2: (['# MWETOOLKIT: meta.doc.id=""net-a6f4a""', '# MWETOOLKIT: meta.doc.title=""Conheça 6 direitos que o consumidor acha que tem, só que não - Notícias - UOL Economia""', '# MWETOOLKIT: meta.doc.source=""http://click.uol.com.br/?rf=economia_mod-dir_financas-pessoais-1&u=http://economia.uol.com.br/ultimas-noticias/redacao/2012/12/05/conheca-6-direitos-que-o-consumidor-acha-que-tem-so-que-nao.jhtm""'], 20)","Não sei se ele age assim por ignorância ou má-fé ."
"magia negra","E envolveu - se com satanismo e magia negra .","Candomblé pensam logo em magia negra , ou macumba .","O que faço para me proteger de magias negras e mau olhado ?"
"mão-fechada","No jargão popular , um "" rei da sovinice "" , um verdadeiro "" mão-fechada "" .","A questão não é ser mão-fechada , mas acho que compensa mais você comprar um livro por um preço bacana e gastar o resto da grana com outra coisa .","Mas o time podre de rico , com caixa gordo e mão-fechada , como a Alemanha , anseia por novos mercados sem restrições para suas exportações ."
"máquina virtual","sent1: (['# MWETOOLKIT: meta.doc.id=""netn-dc0d0""', '# MWETOOLKIT: meta.doc.title=""Como instalar o Windows 8 em uma máquina virtual [vídeo] - TecMundo""', '# MWETOOLKIT: meta.doc.source=""http://www.tecmundo.com.br/13346-como-instalar-o-windows-8-em-uma-maquina-virtual.htm""'], 41)","Os bytecodes são interpretados pela máquina virtual Java .","Para não deixar a máquina virtual muito lenta , é aconselhado utilizar metade da memória disponível ."
"mar aberto","Alcançada a ponta de Santo Antonio , saíram a mar aberto .","Ele condena a turma a nadar em mar aberto .","As espécies de mar aberto têm por princípio a natação contínua ."
"maré alta","Em dias de maré alta , delas é possível apreciar as ondas que parecem invadir o ambiente .","Seu volume também o condiciona a uma oscilação muito maior de suas águas quando dos intervalos entre maré alta a maré baixa .","Em certas áreas litorâneas , como algumas ilhas do Pacífico , isso significou um avanço de 100 metros na maré alta ."
"maré baixa","O adolescente perdeu a vida por meio de um mergulho na maré baixa .","Apresenta grandes raízes aéreas que ficam expostas durante a maré baixa .","Possui águas agitadas e mornas formando piscinas naturais na maré baixa ."
"massa cinzenta","Estudos mostram aumento de massa cinzenta e branca em cérebros de adultos mais velhos .","E perceberam um aumento na massa cinzenta daqueles que praticavam esportes .","Uma das áreas que não nascem prontas é a parte superior da massa cinzenta , composta pelo neocórtex ."
"mau contato","Vi que o fio do seu carregador está com mau contato .","Os aparelhos podem pegar fogo se submetidos a mau contato ou curto circuito .","Verificar se há aquecimento nos fios ou mau contato , que causam fuga de energia ."
"mau-humor","Mau-humor , preguiça , desânimo .","Afaste de mim todo mau-humor e amargura .","Seriedade não é cara feia e mau-humor ."
"mau-olhado","Esquecer o olho grande e o mau-olhado em volta .","Protege dos maus espíritos e do mau-olhado .","Ela é também usada como amuleto para proteger do mau-olhado ."
"mercado negro","Proliferou o mercado negro e incentivou - se o processo inflacionário .","sent2: (['# MWETOOLKIT: meta.doc.id=""net-23f864""', '# MWETOOLKIT: meta.doc.title=""Prestando Prova: - Artigos""', '# MWETOOLKIT: meta.doc.source=""http://prestandoprova.blogspot.com.br/search/label/-%20Artigos""'], 138)","As atividades do mercado negro exigem o cometimento de outros crimes ."
"mesa-redonda","Uma mesa-redonda diferente , mais dinâmica e com convidados especiais .","Em seguida haverá mesa-redonda , palestras e debates com o secretário de direitos humanos Fernando Matos .","Capacitação gratuita diversas palestras , mesas-redondas e conversas com especialistas estão sendo preparadas ."
"montanha-russa","Cada montanha-russa é mais emocionante do que a outra !","As crianças deliciavam - se durante tardes inteiras , com seu brinquedo favorito : uma montanha-russa em forma de dinossauro !","As montanhas-russas também são um dos atrativos de este parque ."
"navio negreiro","Acredita - se que tenham vindo da África em navios negreiros .","sent2: (['# MWETOOLKIT: meta.doc.id=""netb-26b267""', '# MWETOOLKIT: meta.doc.title=""Damasnegras - Portal Geledés""', '# MWETOOLKIT: meta.doc.source=""http://www.geledes.org.br/afrobrasileiros-e-suas-lutas/damas-negras.html""'], 19)","Esta lei permitia aos navios britânicos apreender navios negreiros que cruzassem o Atlântico ."
"nó cego","Há muitos nós cegos que têm de ser desatados e não podem ser abruptamente cortados em pedaços .","A minha tese é a de que o pragmatismo político do ex - presidente lula colocou a quase totalidade dos partidos brasileiros em uma sacola e deu um nó cego .","sent3: (['# MWETOOLKIT: meta.doc.id=""net-dc1b3""', '# MWETOOLKIT: meta.doc.title=""desenvolturas&desacatos.: Setembro 2012""', '# MWETOOLKIT: meta.doc.source=""http://desenvolturasedesacatos.blogspot.com.br/2012_09_01_archive.html""'], 47)"
"novo mundo","sent1: (['# MWETOOLKIT: meta.doc.id=""net-1c02a3""', '# MWETOOLKIT: meta.doc.title=""maraoluar: reflecções""', '# MWETOOLKIT: meta.doc.source=""http://maraoluar.blogspot.com.br/search/label/reflec%C3%A7%C3%B5es""'], 47)","O ensino fundamental é um novo mundo .","Comece a construir este novo mundo em seu coração ."
"novo-rico","Os novos-ricos precisam despejar dinheiro , pois não têm tradição .","Perdemos a humildade e ganhámos a ganância dos novos-ricos .","Os novos-ricos , emergentes , ex - pobres , escolhem religiões novas , recém - fundadas ."
"núcleo atômico","As forças nucleares mantém os núcleos ( protons e neutrons ) unidos no núcleo atômico .","É proibido manipular núcleos atómicos , assim como realizar fissão e fusão nuclear .","sent3: (['# MWETOOLKIT: meta.doc.id=""netb-2e2c30""', '# MWETOOLKIT: meta.doc.title=""Radia��o, Tipos, Ionizante,Raios, Energia, Danos, Consequ�ncias Radia��o""', '# MWETOOLKIT: meta.doc.source=""http://www.portalsaofrancisco.com.br/alfa/meio-ambiente-energia-nuclear/radiacao.php""'], 137)"
"olho gordo","Eles também querem ser amados e terem amigos sinceros sem olho gordo em suas fortunas materiais .","O nome turco do amuleto que protege contra o mau olhado e olho gordo é Nazar Boncuk .","Eles são usados para espantar o mau olhado , ou o "" olho gordo "" , como alguns preferem dizer ."
